-0.302142 0.629646	-0.468646 -0.437506	0.751303 0.319782	0.384374 0.752014	0.603867 0.790833	0.290540 -0.494219	0.653237 0.502880	0.387346 -0.803606	0.639781 0.500007	0.692389 0.500295	0.204144 -0.447248	0.443633 0.882135	0.368019 0.799485	0.560744 0.607400	0.339973 0.029546	-0.102781 -0.829903	-0.864264 0.130356	-0.810361 0.809437	-0.367139 0.791816	-0.625853 0.309730	
0.056415 0.011376	-4.728568 -1.744221	-0.607352 -1.304724	0.286051 0.495328	1.958671 0.791555	-1.097084 -3.930876	-0.510642 2.249339	-2.268906 1.342737	1.686390 2.069558	2.125263 -2.022489	-0.557223 0.880622	-1.068213 3.355628	-2.026065 1.710453	-0.588838 0.902569	1.131579 1.844802	1.088576 2.520975	4.875362 2.729609	-2.041861 -0.747993	1.343620 1.161914	-1.537970 2.960434	
0.635544 -0.702007	-4.143780 -2.313023	-1.181106 -2.128623	1.041169 -0.388082	2.394349 1.661725	-0.330668 -3.899531	-1.455757 1.863437	-1.388894 2.196662	2.060755 2.556146	1.657696 -2.583197	-1.291126 0.233903	-0.801490 3.687975	-1.996384 1.610906	-0.457544 1.325671	1.069472 0.923203	0.116732 3.300520	4.381099 3.365676	-1.393625 -1.041869	1.263105 0.326583	-0.678736 3.593342	
1.184014 -0.762293	-3.300352 -1.841778	-1.265896 -2.717699	0.689474 -0.854847	2.568955 2.389371	-0.042005 -3.773131	-1.434111 1.655585	-1.026873 3.145646	2.842364 2.980110	0.673563 -3.423970	-1.428035 -0.042589	-1.671983 3.951889	-1.117083 0.694421	-1.306655 1.589595	1.831784 0.956754	0.408977 4.139813	4.198040 3.561149	-0.805481 -0.430622	1.977430 0.852397	-1.488675 4.010449	
0.381441 -1.054569	-3.136830 -1.246658	-1.606127 -2.083709	1.289982 -1.085955	2.845257 2.074239	-0.254206 -4.302228	-2.274701 2.104284	-0.435770 2.436916	1.844536 2.077526	1.061057 -3.115994	-1.192984 0.334669	-2.010188 3.538238	-1.850180 0.782429	-1.462405 2.324709	2.402537 1.440033	0.573928 3.220862	3.409990 4.479055	-0.656549 -1.087748	2.407960 1.552416	-1.286352 4.123364	
-0.539677 -1.883424	-2.141662 -1.734693	-1.837646 -2.121694	0.515190 -1.846698	3.041638 2.980846	-0.517732 -4.898260	-2.081508 2.330864	-1.156438 1.459575	2.842201 1.909996	0.619336 -3.002222	-1.645308 1.174060	-1.054447 4.453011	-1.337893 0.971715	-2.001707 1.992394	2.457251 0.811580	0.004349 2.490135	3.510304 4.950741	-0.227392 -0.936398	1.720901 0.932668	-1.604476 4.928521	
0.297186 -0.957209	-1.711868 -1.737170	-2.062314 -2.794667	0.016937 -2.266785	3.255705 2.442562	-1.480278 -5.178469	-2.820457 2.846979	-0.583318 0.871952	3.021005 2.312424	1.526523 -2.642926	-2.526720 0.480847	-1.177273 4.767047	-1.141230 0.533905	-1.973853 2.643872	1.896307 1.417458	0.546333 1.825883	2.821962 4.094048	-0.209485 0.016875	1.815418 -0.033682	-0.633612 5.794970	
-0.642004 -0.965658	-2.701553 -0.819101	-1.065155 -3.546229	0.415326 -2.863657	2.293191 3.183559	-2.368536 -4.263851	-3.242896 2.915141	0.137838 1.366858	2.758503 2.667173	0.982675 -2.961585	-2.308056 1.077663	-1.849851 5.560970	-0.259333 0.674048	-1.358898 1.787669	0.973149 1.956794	0.311054 1.348636	2.956711 3.423873	0.519495 -0.917334	2.110187 0.964301	-1.601625 4.828809	
-0.224639 -1.514757	-2.906388 -1.202532	-1.177865 -3.484393	0.077528 -3.260899	3.059637 2.333295	-1.738229 -3.904469	-4.141066 3.718823	0.112712 0.953987	1.854777 3.361439	0.296949 -3.580337	-1.609627 1.536567	-1.219371 4.572254	0.298902 1.435414	-1.169882 1.278792	1.776335 2.914927	1.004176 1.498998	3.017971 3.162299	0.553935 -1.525736	3.010217 1.408743	-1.724368 4.889269	
-0.039996 -2.361729	-3.783709 -1.509457	-0.397014 -4.167888	-0.535570 -2.856929	3.896611 1.760210	-1.735900 -3.991662	-3.466967 3.043899	0.908057 0.705424	2.199272 4.273549	0.934159 -4.543879	-1.279552 0.786516	-1.803411 4.770318	1.075241 2.406454	-0.791530 1.145368	0.780594 3.284824	1.465023 1.670141	2.112683 2.684925	1.437483 -1.741655	2.333863 0.487531	-1.416518 5.149195	
0.419718 -3.259574	-4.027936 -0.656331	-0.389615 -3.705781	-0.719196 -1.900048	4.101946 1.705240	-1.119256 -4.096941	-2.911157 3.228973	0.323162 1.660572	1.392301 3.842410	0.634075 -5.000547	-2.267194 0.236332	-2.652263 4.867069	2.057620 2.617307	-0.622932 2.027473	0.474506 3.856394	2.154731 1.763011	1.480654 2.890174	1.977322 -2.543165	3.142674 0.559877	-1.229728 6.141679	
1.140265 -2.685279	-4.847126 -1.109221	-0.122858 -2.939346	-0.232537 -1.760531	3.811563 2.532369	-1.213254 -3.907353	-3.118422 2.513087	-0.180379 1.541025	0.625974 3.962767	-0.100009 -4.934317	-1.685692 -0.631337	-2.555543 4.158608	1.219604 2.063136	-1.025402 2.101167	-0.354212 3.474821	2.624353 2.201322	0.541177 2.013349	2.614397 -2.367860	3.454191 -0.039773	-0.895059 5.684010	
1.413184 -1.771248	-4.210440 -0.473666	0.037315 -3.488417	-0.994316 -2.727950	4.768036 3.143463	-0.605750 -4.613393	-3.100160 2.817786	-0.688041 2.079032	1.196638 3.140275	0.052335 -4.995493	-2.597715 0.288210	-3.470006 3.193895	1.287391 1.085782	-0.528636 1.754489	0.026489 4.232771	3.418896 2.014512	1.297069 2.888905	3.585391 -2.421763	3.589757 -0.767092	-0.235319 5.511077	
1.057412 -1.191639	-4.924221 -0.820509	1.005402 -4.466603	-0.978068 -3.618473	5.253729 3.051523	-0.798778 -4.213189	-2.588821 2.902294	-0.932952 1.656900	2.095706 3.654314	0.154989 -4.264695	-1.759272 -0.294583	-3.092367 3.202702	1.037503 1.287505	-1.522574 1.475213	-0.633712 4.130814	2.936499 2.506847	1.310792 2.083447	2.815050 -2.351483	4.497450 -0.290363	-0.444438 6.391120	
0.983548 -1.838791	-4.476899 -1.580215	1.618030 -5.223815	-1.409927 -3.820533	5.132328 2.782829	-0.831102 -3.669306	-3.538359 2.921078	-1.612443 2.415192	2.641211 2.748245	-0.325143 -3.602485	-2.167549 0.669833	-3.880479 3.697161	2.036900 0.302168	-0.580214 2.217950	-0.980558 3.956343	2.957044 2.412761	1.196297 1.710623	2.079380 -1.988559	5.238220 -0.642933	-0.115035 5.899785	
0.887270 -2.738805	-5.330248 -1.403870	0.935947 -5.474225	-0.703660 -3.119401	4.278980 1.964883	-0.203659 -4.483003	-3.807582 3.450524	-1.968889 1.498859	1.992465 3.064940	-0.348854 -3.908645	-1.168493 -0.223725	-4.285971 4.330153	2.769741 1.212583	0.114436 2.318348	-0.525914 4.287658	3.810215 2.884307	1.033953 1.419624	1.424697 -2.460278	4.937725 0.288429	0.581866 6.780968	
0.847791 -3.113310	-5.100481 -0.964149	0.748885 -5.378333	-1.539496 -2.820684	3.380867 2.142223	-0.349710 -4.860683	-3.083620 2.576450	-1.999732 1.035658	2.938145 3.014375	-0.203136 -3.453530	-0.874289 -0.871215	-4.278813 4.889560	1.930459 1.218445	0.382084 1.993101	-0.195648 5.221257	3.025845 3.023169	1.514989 2.057382	1.839622 -2.647504	5.508186 1.139800	0.762269 6.533764	
1.392394 -2.980885	-6.089525 -1.088553	1.368575 -4.893916	-2.130594 -2.486102	3.930264 2.937860	-0.057195 -3.998931	-3.702840 2.776289	-1.152602 1.103782	3.786279 2.980964	-0.239876 -2.953367	-0.125329 -0.300510	-5.160561 5.826210	1.563045 1.823525	1.058057 1.726235	0.173076 5.674997	3.978364 3.401574	1.932609 2.894771	1.722865 -2.110744	4.684894 0.197375	0.944167 7.003801	
1.667865 -3.662164	-6.924400 -1.723221	1.554328 -5.295631	-1.828966 -2.188415	4.201951 2.110547	-0.256072 -3.972671	-4.005930 3.361653	-1.962676 0.690398	3.055284 2.467997	0.759231 -3.943478	0.511627 -0.900560	-4.628539 6.780205	1.072378 1.719770	1.630265 1.318607	-0.751130 4.812930	3.977422 3.921441	2.626147 2.609087	1.531905 -2.527666	3.829195 -0.349298	0.249868 7.481542	
1.487691 -3.476074	-6.691619 -0.894305	0.738842 -5.992977	-1.915581 -2.869321	4.643189 3.092307	0.657091 -4.656713	-4.993715 3.157143	-1.932620 0.977782	3.192918 1.889990	1.191407 -4.253022	1.214252 -0.677334	-5.120893 7.564848	0.523872 1.413304	2.384822 1.343216	0.146603 4.113242	4.318592 3.039932	2.616784 3.591244	0.652082 -2.530055	2.935864 -0.611781	-0.310804 7.266487	
0.753412 -2.483065	-6.671878 -1.216045	1.049623 -5.779364	-1.809636 -2.772484	4.146946 2.145372	0.495622 -3.770973	-4.551287 3.155795	-2.070732 0.788248	2.249554 1.669118	1.857785 -4.445635	0.611308 -0.009400	-4.590631 6.977060	0.066560 2.228500	3.335890 1.268113	-0.747401 3.358682	4.137147 3.886128	3.260291 4.320928	-0.035667 -1.693683	2.179622 0.004191	-1.172563 6.800068	
0.018224 -2.966042	-6.971849 -1.555839	1.676980 -5.231196	-0.838374 -2.475229	3.821205 1.295101	0.510333 -3.970119	-5.188633 3.898416	-1.965532 0.213647	2.897850 2.177713	2.223174 -5.048437	0.579210 0.460773	-4.417173 7.008953	-0.244399 1.676338	3.084102 1.550434	-1.098316 3.267267	3.904999 4.629618	4.102091 4.771176	0.195615 -1.037707	2.225927 0.159913	-0.833134 6.533475	
