-0.302142 0.629646	-0.468646 -0.437506	0.751303 0.319782	0.384374 0.752014	0.603867 0.790833	0.290540 -0.494219	0.653237 0.502880	0.387346 -0.803606	0.639781 0.500007	0.692389 0.500295	0.204144 -0.447248	0.443633 0.882135	0.368019 0.799485	0.560744 0.607400	0.339973 0.029546	-0.102781 -0.829903	-0.864264 0.130356	-0.810361 0.809437	-0.367139 0.791816	-0.625853 0.309730	
-0.954792 -4.623973	-1.227864 -0.364993	3.675482 -6.409105	8.126933 -3.888603	-4.575463 -6.694185	-1.251990 -3.781985	-8.566841 20.027369	-7.700985 2.170727	1.898593 -8.550154	-1.178855 -2.017980	3.720365 12.009382	-7.487612 4.863466	-13.413644 -8.444896	0.947073 0.506633	-4.427596 -3.406891	2.167212 1.478415	0.755455 1.699966	5.761307 -1.236363	5.778811 -8.072840	-3.250899 12.436095	
-1.909319 -4.355860	-1.592830 -0.435858	3.949283 -5.783819	7.256421 -4.092060	-4.936214 -7.508583	-1.417875 -3.338572	-8.142878 19.487629	-8.689750 3.120019	2.869643 -8.984854	-0.257835 -2.902251	4.117706 11.947285	-8.009985 4.295546	-12.755427 -8.230837	0.495340 1.103992	-3.544062 -2.758108	2.398346 1.746640	-0.163660 2.531784	6.368943 -1.557756	6.703086 -7.353203	-3.355062 12.562023	
-2.821001 -3.872338	-2.127757 -1.228891	3.324370 -6.517220	8.206740 -3.841711	-4.174508 -7.535817	-2.157579 -2.935452	-8.843408 18.918655	-9.244913 3.907109	3.728379 -9.384214	-0.235071 -3.825811	4.322634 11.319913	-7.143963 3.816306	-11.915219 -7.661492	1.470238 1.203397	-3.618926 -1.987666	3.167094 2.347719	-0.720197 2.411469	6.190257 -1.007315	7.066067 -7.425201	-2.538714 11.686132	
-3.535025 -4.694714	-1.609180 -1.394561	3.943746 -6.196791	7.333087 -4.145854	-3.257148 -8.482081	-2.970738 -2.669546	-9.164196 19.077924	-8.628463 3.645763	3.655548 -9.953910	-0.944233 -4.427825	3.824629 11.227290	-6.925907 4.194259	-12.602448 -8.244324	1.603341 1.708655	-3.941812 -1.230229	3.770641 1.685259	-1.591450 2.426938	6.953916 -1.943410	6.742908 -8.116275	-2.136119 11.561898	
-3.130331 -5.145317	-0.726819 -1.921104	3.305311 -6.118220	6.993530 -4.056975	-3.806503 -7.960518	-3.325028 -2.898922	-8.415588 19.292360	-8.889136 2.845054	3.110334 -9.341261	-0.999748 -4.922261	2.862677 11.128718	-7.371409 3.232988	-11.972481 -7.428917	0.992929 2.374966	-3.518066 -1.289594	3.098925 0.695103	-0.678976 3.188086	7.487047 -2.702026	6.904634 -7.121847	-2.452311 11.316129	
-3.168801 -5.230221	-0.264132 -1.438170	3.600757 -5.791055	7.960194 -3.217595	-4.426195 -7.879926	-3.504348 -2.408959	-7.791102 19.764358	-8.216775 3.197429	2.219867 -10.213122	-1.737087 -5.917302	3.695313 11.428037	-7.021841 2.423177	-11.528508 -7.151737	0.468802 2.074624	-3.788343 -0.609484	3.263778 -0.019294	-1.283578 3.050081	8.328063 -2.943595	6.741234 -7.446644	-2.817851 11.174782	
-2.680705 -5.969223	-0.859582 -0.758511	3.471363 -5.783550	8.381186 -3.997690	-3.805072 -7.108538	-4.273489 -1.494311	-8.080714 20.252800	-7.244088 2.271274	2.703005 -9.854994	-2.129022 -6.169096	3.089270 10.972249	-7.676170 2.846672	-12.183997 -6.590078	0.411346 3.003763	-3.414366 -0.025320	2.268951 -0.627668	-0.575449 2.091882	7.719986 -2.008823	7.524765 -7.562713	-3.153927 12.054747	
-1.858317 -5.855492	-1.735874 0.010945	3.235613 -4.785991	7.384413 -3.967173	-4.603499 -6.703811	-4.192830 -1.905635	-8.044106 19.577617	-6.454481 3.084538	3.066714 -9.933075	-2.537817 -6.479045	3.870609 10.280986	-7.273411 3.545147	-11.210507 -5.744405	-0.319199 3.201146	-2.673631 0.951823	1.760454 -1.082764	0.078538 2.042845	7.290911 -1.843634	8.024928 -8.532659	-3.676166 11.538385	
-1.071975 -4.966938	-2.403032 -0.306160	3.690904 -5.434949	7.247127 -4.480732	-5.053656 -6.435667	-4.586199 -2.161798	-8.394962 19.263597	-6.395119 2.737725	2.507819 -9.580914	-2.726508 -6.044917	4.813944 9.314207	-7.102742 4.292377	-10.645022 -4.800455	0.108721 3.569240	-2.652510 0.982681	0.960051 -0.978506	0.202630 1.908735	7.574618 -2.210956	8.420209 -8.438983	-4.035860 11.688294	
-0.914107 -4.249742	-1.762137 -0.644007	4.690241 -6.000038	6.902400 -5.072197	-4.928296 -6.910160	-3.752298 -2.793905	-8.354944 20.116736	-6.712336 3.510780	2.734694 -9.117731	-3.329691 -5.331963	4.988212 9.278089	-6.854994 3.688402	-11.533587 -4.954095	-0.445893 4.349449	-2.591467 0.920683	1.770710 -0.058242	-0.553962 2.748907	7.108258 -2.113111	8.539570 -8.984539	-3.605693 11.988631	
-1.752734 -5.167450	-1.779268 0.270609	3.770702 -5.242293	6.261230 -5.556002	-4.489424 -6.215466	-4.033829 -3.360356	-9.326919 20.819065	-6.820139 3.826039	2.267092 -10.010759	-4.202932 -6.070313	5.415823 8.395283	-6.012315 2.889038	-11.825704 -4.958536	-0.131296 4.231807	-1.830773 0.565075	0.792557 -0.330728	0.425595 2.842559	6.540321 -1.738603	9.402601 -9.038748	-3.547008 11.988078	
-1.376160 -6.053602	-1.862654 0.587887	3.072827 -4.431271	6.429652 -6.294732	-4.699364 -6.763380	-3.317065 -2.647094	-9.866675 20.535485	-6.004455 3.206604	2.120107 -10.935086	-4.732012 -5.796124	6.130472 7.517859	-6.492242 2.371952	-12.637475 -5.626373	-0.679298 4.060267	-1.017773 0.458480	0.200133 -0.341107	0.068736 2.060033	7.456174 -1.588690	9.919474 -9.166409	-3.029832 11.824844	
-0.873450 -6.425456	-2.453650 -0.388758	2.924553 -5.406584	6.639914 -5.809441	-4.589485 -6.823651	-3.710524 -3.114866	-10.217349 20.935185	-5.609876 3.545690	1.880358 -10.088050	-4.502575 -5.651446	5.397265 7.552223	-6.744296 2.919157	-13.327025 -5.660375	-1.623570 3.637965	-0.621339 1.181625	0.526672 0.010839	0.525930 1.591284	7.813851 -2.348621	9.322717 -9.169516	-2.270534 11.939587	
-1.301169 -7.078320	-3.174210 0.451500	3.336276 -5.280817	7.364982 -5.451542	-3.812783 -6.884167	-3.296879 -2.623819	-9.958878 21.213694	-5.432909 3.817581	2.582452 -10.209322	-3.579278 -5.278985	4.764068 7.778928	-7.437573 1.931890	-14.022061 -5.209640	-2.329206 3.637476	-1.544832 0.929443	1.355479 -0.899329	1.049021 1.400678	6.826502 -1.408012	8.791090 -9.651768	-1.640070 11.649105	
-2.069939 -7.912547	-3.183104 -0.337941	2.978058 -4.430975	7.535819 -5.239259	-4.570383 -7.040154	-3.540959 -3.093134	-10.881252 20.465902	-6.240294 4.487855	2.857906 -10.679979	-3.758628 -5.879017	4.944444 7.735621	-7.088584 1.732624	-14.871371 -4.871921	-2.831210 4.177522	-2.154348 1.208211	1.208484 -1.102383	0.783001 0.950396	6.911395 -0.494007	9.077468 -10.073848	-1.836558 12.628554	
-1.092648 -8.161471	-4.162728 -1.242462	3.405003 -4.676602	8.501713 -5.274695	-4.978992 -6.707046	-3.267489 -3.342592	-10.708706 20.957374	-7.161013 5.196675	3.422701 -10.053488	-2.963298 -6.327650	5.133182 7.671883	-6.810161 2.472123	-15.050281 -4.628538	-2.320053 3.402225	-2.456260 1.646919	1.287323 -0.603828	1.775780 1.335782	7.910153 -0.392111	9.279644 -9.202721	-2.049644 13.041253	
-1.097078 -7.497738	-3.893715 -1.075518	3.198039 -5.626121	7.520506 -6.254828	-4.797287 -7.628759	-2.913853 -2.436616	-11.580866 20.343639	-6.483269 5.644039	3.370588 -9.553612	-2.946870 -6.738397	4.952952 8.571353	-7.777065 3.243034	-14.763596 -4.486375	-2.799140 3.375897	-2.029047 0.743029	1.102590 0.007645	1.271839 1.193937	7.235830 -0.816246	8.550818 -9.064464	-2.989791 12.309754	
-0.907647 -7.618459	-3.552485 -1.965729	2.473181 -4.928907	7.583651 -5.462527	-5.554007 -8.397219	-2.250852 -2.725636	-11.292490 20.026615	-6.737535 4.760977	2.544466 -10.454337	-3.050899 -7.461611	4.216508 8.697989	-8.768162 3.825813	-14.654679 -4.925781	-2.305674 2.518735	-2.398404 1.186083	0.781206 -0.368508	1.992671 1.277599	7.246071 -1.422655	8.754426 -9.591410	-3.167802 12.759087	
-0.901864 -6.914729	-2.662204 -1.827051	2.127580 -5.490239	8.499041 -5.432396	-6.273977 -8.665353	-2.204589 -1.848480	-12.024500 20.092315	-7.637975 5.420208	2.226120 -10.666381	-2.805842 -6.533067	4.614228 8.486077	-8.746881 3.864141	-14.616910 -5.873356	-2.211344 2.447170	-1.557825 1.347157	0.342593 -0.266183	1.358547 1.455352	7.107431 -1.784123	9.736966 -9.505071	-2.497712 12.056528	
0.035656 -6.607542	-1.767344 -2.029093	2.108828 -6.131200	9.206677 -5.907504	-7.029574 -8.633971	-1.562128 -1.634974	-11.938105 20.197029	-7.291107 6.331470	2.314051 -9.831729	-1.965050 -6.243755	4.913895 8.393001	-9.075357 4.452353	-14.884848 -6.019716	-2.190058 2.479823	-0.699947 2.117867	0.362621 -0.056030	0.680351 0.480936	6.112293 -1.091119	9.483889 -10.330300	-2.744793 12.247520	
0.180086 -6.869467	-1.918059 -1.579380	1.475890 -5.299299	9.513942 -5.528917	-6.741859 -8.438563	-1.878967 -2.166587	-12.638436 20.830672	-7.011817 6.474983	2.390678 -8.837339	-1.975683 -6.003099	4.020067 7.800373	-8.771177 4.489172	-15.461507 -6.054732	-1.368693 1.984702	-0.996681 2.358954	0.705889 -0.687266	1.132536 1.234963	5.250285 -0.203991	10.064292 -11.292526	-3.370377 12.777482	
0.141115 -5.975308	-2.457555 -1.727802	1.266376 -4.913633	9.355951 -5.154067	-7.404397 -8.594007	-0.993555 -1.305417	-12.756239 21.159888	-6.102434 6.297068	2.542792 -8.842426	-1.294269 -5.679452	4.677747 8.078961	-8.947177 4.755089	-16.180071 -6.344733	-2.331224 2.620657	-1.777367 3.275771	1.302824 -1.204715	1.461342 1.341307	5.540568 -0.215611	10.097465 -11.376402	-2.493494 13.320282	
-0.122660 -6.178190	-3.390571 -1.094397	0.694248 -4.240522	10.088332 -5.194339	-7.305027 -9.009551	-0.022838 -2.214174	-13.620094 20.451440	-6.020416 6.749193	2.949867 -8.660141	-0.728774 -5.122142	5.385343 9.064144	-8.332717 5.393897	-16.851764 -6.446722	-2.185907 1.634596	-1.026183 3.793153	1.712544 -1.902969	1.857089 1.351083	6.141557 -0.462719	10.242894 -10.704238	-3.146627 13.472362	
-0.983134 -5.932130	-4.181286 -1.416615	1.403045 -3.367784	9.939021 -5.082105	-7.010878 -8.367404	0.680196 -2.171033	-13.704742 21.095822	-6.153433 7.183653	3.329995 -8.591128	-0.637507 -5.699908	5.890622 9.482710	-8.260849 4.520542	-16.907020 -5.790531	-2.835467 2.108368	-1.029252 4.513378	0.744659 -2.447842	2.562542 1.681130	5.349911 -0.141097	10.148683 -11.635981	-4.060350 13.440333	
-0.671792 -6.881497	-4.078533 -1.836948	0.461059 -4.303153	10.232563 -4.821916	-7.554663 -8.000612	0.925946 -1.562112	-13.904515 20.723232	-5.689955 6.741379	4.307975 -8.722626	-0.311552 -4.907827	5.044330 9.414343	-8.090596 3.974067	-17.528775 -5.142036	-3.690031 2.416649	-0.365969 4.272016	-0.130063 -2.794588	2.463681 0.890035	5.026125 -0.745264	10.781532 -11.167355	-3.864588 13.614197	
-1.658582 -7.412739	-4.547064 -1.922602	0.725360 -4.060167	10.424297 -4.571926	-7.506551 -8.581390	1.750558 -1.167683	-13.036997 20.051973	-5.958209 7.645257	4.270087 -8.719074	-1.220613 -5.522530	5.538583 9.133790	-7.525201 4.137948	-17.699558 -5.394098	-3.764798 3.116704	-0.118049 3.400737	-0.249407 -2.097816	2.377980 1.757754	5.113806 -0.384613	10.453774 -11.107468	-4.115923 12.987490	
-1.423039 -7.273486	-4.105364 -1.404171	0.178201 -3.591182	10.543282 -4.059060	-7.197334 -9.525673	2.026829 -2.084730	-13.347546 19.983024	-5.691128 8.140314	3.700654 -9.523205	-1.515056 -6.503829	6.093944 8.437532	-7.032406 4.943246	-17.508189 -6.175705	-2.817399 3.282207	-0.243968 2.546299	0.195635 -2.281399	2.130687 0.764032	6.037282 0.011687	10.925479 -11.852144	-3.443965 12.639004	
-1.613845 -6.420070	-4.605997 -1.271205	0.905123 -4.108975	10.777775 -4.213716	-6.655096 -9.408155	2.104117 -2.309418	-13.095345 19.369319	-4.856901 8.916743	3.698504 -8.696917	-2.109862 -6.409644	6.975738 8.253306	-6.115266 4.844954	-17.189299 -6.563398	-3.753837 3.275043	-1.073210 2.441334	-0.544319 -1.992091	1.495736 0.088165	6.117403 -0.231255	11.905456 -10.881263	-2.933590 13.247764	
-1.397384 -5.915413	-4.241321 -1.641316	0.167231 -4.846651	10.747640 -3.324959	-5.827136 -9.967974	1.774679 -1.830351	-13.387887 19.217686	-4.499902 8.117713	3.725807 -8.841757	-2.177354 -6.761922	7.429872 9.032670	-6.371973 4.901739	-17.847316 -6.868935	-3.738835 3.901776	-1.929690 1.994676	-1.024713 -2.228134	2.244419 0.903636	5.827659 0.243009	12.528332 -11.067801	-2.452334 13.629096	
-0.789002 -6.437366	-3.331449 -1.351782	0.578900 -4.337889	9.795379 -2.538179	-6.283574 -10.361329	1.028858 -2.496824	-12.715862 18.303861	-4.557241 8.649340	2.733266 -8.359477	-1.690244 -6.032580	6.690416 9.691670	-5.963522 4.220678	-18.305097 -7.526961	-3.402138 4.117399	-2.544911 2.639849	-1.934721 -1.454334	2.423052 1.207418	6.248615 1.122460	11.941360 -10.253957	-3.017143 14.334854	
-0.852217 -5.826629	-2.489124 -0.844345	0.399469 -4.163097	8.893079 -1.717930	-6.371158 -9.434099	0.144572 -2.933376	-12.497668 17.471717	-4.613733 8.965027	2.493430 -7.621340	-2.057751 -5.499872	5.813446 9.400663	-5.737146 4.189272	-18.881205 -7.693059	-2.737890 3.283070	-1.825417 1.701768	-1.500745 -0.610997	1.854188 1.623978	6.619119 0.487584	11.560249 -10.052406	-2.579778 14.541917	
-0.773822 -6.239483	-1.660419 0.019839	0.120238 -3.860259	9.589795 -2.530358	-6.182659 -10.025664	0.939422 -3.344645	-12.152807 16.719563	-4.354386 8.745770	2.927017 -8.050045	-1.288572 -5.872529	6.499716 9.426537	-6.370270 3.531528	-18.657996 -7.250971	-2.933685 3.372499	-2.272492 0.998752	-0.598236 0.227464	1.805089 1.930555	5.962174 0.022770	10.672682 -10.066368	-2.878875 14.711155	
-0.502792 -7.138835	-1.260021 0.058547	0.605812 -3.202274	9.613154 -3.444424	-5.497989 -9.435165	0.640032 -2.942206	-11.601917 17.592340	-4.002711 9.478981	2.973357 -8.665982	-0.569376 -5.870389	6.688280 8.934517	-6.866072 2.957561	-18.517080 -8.073787	-2.339487 4.253893	-2.526103 1.416581	0.136629 -0.253064	1.567272 2.221876	6.411907 0.301688	10.198192 -10.935565	-2.743746 14.088336	
-0.710674 -7.004307	-1.645003 -0.245873	1.605063 -3.572881	8.939302 -3.031659	-6.410356 -8.581660	-0.285394 -3.509169	-10.854200 18.366766	-3.591713 9.265904	2.824049 -9.470815	0.339225 -6.719361	6.873667 9.072718	-6.792720 2.013288	-18.153269 -7.577513	-3.198617 4.313306	-1.653597 0.631523	-0.055706 -0.622181	0.678795 2.592455	6.613942 0.167261	9.687954 -11.646693	-2.126499 14.983949	
-1.411221 -6.159961	-0.672482 -0.723703	0.801547 -3.160757	9.938690 -3.731757	-7.266980 -7.690340	0.595881 -2.545520	-10.757149 18.408504	-4.154811 9.907982	3.008202 -10.247668	1.219719 -6.850942	7.196517 8.968273	-7.626825 2.297075	-19.064364 -7.657648	-2.770810 3.469823	-0.850745 1.133776	-0.176743 -0.041136	-0.022137 1.609750	7.391795 0.821617	9.607315 -12.242578	-2.886433 15.530719	
-2.159889 -6.771532	-0.263264 -0.735803	1.086400 -2.204762	9.227492 -3.058486	-7.363894 -7.134847	0.030362 -2.874761	-10.273318 17.430203	-5.136091 9.704554	2.099626 -9.387062	0.527495 -5.904278	7.641801 8.309570	-8.121704 1.908478	-18.423475 -8.358401	-2.435591 3.079858	-1.357625 0.582449	-0.002196 -0.787112	0.126559 1.772048	7.067978 0.973225	10.019140 -13.069987	-2.620366 15.799857	
-2.613251 -6.609612	-1.052450 0.242533	0.534055 -1.760533	9.437646 -3.933390	-6.732728 -7.128529	0.194373 -1.995148	-9.378043 16.966592	-5.649599 10.209416	2.956797 -9.626055	-0.284860 -6.724808	8.224463 7.640622	-7.713678 1.046599	-18.971381 -7.496223	-3.180725 2.572651	-1.798884 0.661272	-0.666810 -1.443709	0.708543 2.032796	7.787158 1.438192	9.575115 -12.597682	-3.499223 15.953535	
-2.561312 -6.498276	-1.286266 -0.072963	0.443953 -1.379940	9.590283 -4.147576	-6.701224 -7.810755	0.824489 -1.082237	-9.888802 16.282278	-4.958421 10.099691	3.540711 -9.177138	-0.070871 -6.734353	8.870526 6.659761	-8.553439 1.320026	-19.880350 -8.194158	-3.317113 2.099246	-1.056613 0.215530	0.247949 -2.247533	1.172431 2.544074	8.085201 1.719258	10.149319 -11.753258	-3.909277 16.508305	
-3.408289 -6.419449	-1.097168 0.624690	0.251949 -1.534092	9.421168 -4.652453	-6.410411 -6.862742	-0.095619 -1.050220	-10.176102 15.835009	-5.705167 10.239687	4.299605 -9.400355	0.286207 -6.559021	8.191040 7.539153	-9.380287 1.906758	-20.296176 -8.360223	-3.460945 1.303738	-0.431918 -0.621710	0.326274 -2.394131	1.074949 3.181188	8.177430 2.406189	10.137863 -11.260455	-4.381687 16.869206	
-3.927621 -5.448774	-0.267569 0.575511	0.714676 -1.513934	8.508280 -5.273710	-6.299373 -6.325140	-0.646004 -1.123948	-9.202649 16.764144	-5.197314 9.914187	5.124384 -9.456507	0.943229 -6.564118	9.088382 7.566446	-9.748201 2.469191	-21.028038 -7.837128	-2.598667 1.524879	-0.088325 -0.263879	0.523619 -3.010915	1.228908 3.107366	8.339845 1.848407	11.110145 -10.664628	-3.974790 17.831001	
-4.003792 -4.829568	-0.781909 0.421852	0.526411 -2.288691	9.365098 -5.057175	-6.160019 -5.648763	-0.586061 -1.390840	-10.172828 16.517681	-4.420439 10.818073	5.889710 -9.614079	1.600790 -6.788085	9.976210 7.045879	-10.214298 2.242841	-21.798046 -8.479306	-3.094941 1.092792	-0.958783 0.219856	-0.261840 -2.745136	0.939963 3.589264	8.248527 1.451643	11.169102 -11.481359	-3.034234 18.266577	
-4.731013 -5.617319	0.035607 -0.479079	0.925918 -2.766183	8.859245 -5.935173	-5.624150 -5.081527	-0.647598 -1.482604	-10.270704 17.081213	-5.236661 10.039663	5.989447 -8.633565	2.418007 -6.497587	10.033978 7.308934	-10.975568 1.756452	-21.455490 -8.271495	-3.744512 0.116411	-1.531351 -0.478841	0.018019 -2.355817	0.697083 2.819159	9.227363 1.221997	11.558704 -11.510989	-2.631626 17.280975	
-4.792007 -5.199622	0.316133 -0.819690	1.498679 -2.561412	8.396171 -6.861063	-5.078675 -4.493470	-1.383575 -1.463379	-11.159966 16.658943	-5.332805 10.219082	6.684840 -9.344228	1.778979 -7.147851	9.666635 6.706328	-10.451754 2.288680	-21.202305 -9.169698	-3.149440 0.192756	-1.522072 -0.503459	-0.163392 -1.892672	1.628217 3.720392	9.192076 0.244791	11.868172 -10.696670	-1.748675 16.865638	
-5.311292 -5.997084	-0.409846 -1.029224	0.735397 -1.630468	8.780482 -7.577561	-4.726883 -5.119536	-1.917075 -2.338740	-10.930076 16.914904	-5.012988 9.617358	6.030245 -9.682690	1.975109 -7.678260	10.625871 7.059878	-10.361654 2.780992	-21.887882 -9.734371	-2.902572 0.036495	-0.978134 -0.907398	-1.067558 -1.476399	2.534024 4.453569	9.025629 1.047839	12.513140 -11.440598	-0.841955 17.798326	
-4.534932 -5.735702	-1.131253 -0.301272	0.688006 -1.891768	7.782928 -7.169807	-4.120666 -5.649159	-2.069341 -2.246147	-10.081434 16.522458	-4.327996 9.174490	6.576579 -9.048647	2.604755 -8.268545	11.154223 7.185498	-10.732985 1.845316	-21.298196 -9.541203	-2.936621 0.003170	-0.518593 -1.800054	-0.402719 -0.648467	1.838158 5.118366	8.398560 0.601988	12.955567 -11.801023	-1.180123 17.494347	
-3.677769 -6.308335	-0.669504 -0.224311	1.183411 -1.795285	7.560277 -6.714797	-3.258364 -5.274781	-2.531071 -2.189160	-9.206885 15.800110	-3.750692 9.249507	6.189153 -8.092583	2.708749 -7.824296	11.358314 6.821418	-11.660464 1.129862	-20.720233 -9.373705	-3.315964 0.963909	-0.937199 -2.278326	0.439804 -0.490889	2.534866 4.857276	8.536150 1.192984	12.073156 -11.404111	-0.506083 18.002678	
-4.101508 -6.337738	-1.099063 -0.339628	1.281840 -1.825087	7.337165 -7.095624	-4.011542 -4.981427	-3.521256 -1.769944	-9.024954 16.033472	-4.147277 9.571865	5.904898 -8.899647	1.952080 -8.322238	11.341949 6.250073	-12.469296 0.448376	-20.930210 -8.657682	-2.813298 0.792177	-1.007427 -2.421127	-0.241130 -1.241583	2.260984 4.663830	8.252103 0.308547	12.400189 -11.035606	-0.705236 17.778323	
-4.675267 -6.515519	-0.582219 -0.098774	1.806734 -2.489406	7.372831 -6.333217	-3.351375 -4.157909	-3.441223 -1.293336	-9.761122 15.732515	-3.832975 9.148713	6.543438 -8.085134	2.154504 -8.089261	10.435960 5.787483	-12.174221 1.097988	-20.694318 -9.339158	-3.197238 0.098019	-1.282309 -2.509312	0.487923 -1.170920	2.848335 4.774741	7.799882 -0.308709	12.369730 -10.528070	0.177522 18.428018	
-3.729400 -7.202222	-1.396773 -1.045506	1.043303 -1.590449	7.171058 -5.905153	-3.437437 -3.506268	-3.928962 -1.254471	-10.649046 15.841405	-4.696006 8.693516	6.515532 -8.569893	1.812899 -7.190762	10.776105 6.316972	-11.530891 1.860984	-20.522226 -8.590362	-2.660961 -0.651288	-1.885513 -1.781834	-0.108078 -0.620119	1.891723 5.731789	7.799042 -0.177325	11.764761 -11.229638	-0.057874 18.106809	
-3.630053 -6.787301	-2.028500 -1.512775	1.590376 -1.459657	6.632989 -5.046764	-4.029362 -3.223235	-4.714043 -1.596873	-10.214087 16.548438	-4.883524 7.955801	5.864876 -8.255526	2.476899 -7.104303	10.783393 6.817018	-11.295407 2.610682	-20.055365 -8.866311	-2.269081 0.266896	-1.222064 -1.757098	-0.658471 -0.744693	1.623854 6.608014	7.045181 0.627251	12.665826 -10.278690	-1.026248 18.986343	
-3.049429 -6.928141	-1.940406 -0.904717	0.938420 -0.813517	7.169264 -5.502958	-3.542957 -3.015999	-5.653737 -1.228956	-9.611792 16.800670	-4.376387 7.677646	5.367991 -7.804151	1.927634 -7.745579	11.304891 6.297298	-10.980638 3.090612	-20.257677 -8.602838	-2.762201 -0.437891	-2.174804 -2.176814	-1.358934 -0.564438	1.490216 5.950428	7.002914 -0.124001	11.784249 -9.291462	-1.915913 19.177189	
-2.640679 -7.354004	-1.664234 -0.523154	0.499784 0.118745	6.605671 -4.790407	-3.619699 -2.474251	-5.387689 -0.493615	-9.971412 17.384968	-4.045953 8.325136	6.359565 -7.178859	1.468523 -8.598422	11.846814 7.227566	-11.101701 3.790894	-21.209360 -9.120498	-2.260667 0.374076	-2.374614 -1.604452	-1.823965 -0.120142	1.932738 6.795313	6.968314 0.761947	11.155765 -8.897368	-1.025752 18.826909	
-2.077767 -7.467430	-1.909903 -1.356912	0.976422 0.492893	6.175550 -4.440640	-3.700098 -2.059631	-5.107274 0.440205	-10.894634 16.898998	-4.508113 7.365869	6.746815 -7.591336	0.552609 -8.922519	11.275037 8.081967	-10.413042 2.833779	-22.180018 -8.719851	-2.646862 -0.102013	-1.954567 -1.890634	-2.011497 -1.010241	1.288318 7.000805	7.891728 1.119390	11.221660 -9.520194	-1.939186 17.944295	
-1.483709 -7.281839	-1.200086 -0.482755	1.547136 0.443173	5.449210 -4.091707	-3.487736 -2.494377	-5.497200 0.713234	-9.954556 16.431138	-3.791055 7.257599	7.420388 -8.265580	1.125514 -8.057116	10.754390 7.514848	-10.221799 3.541199	-22.170318 -8.001176	-2.018566 -0.183428	-1.873684 -1.427960	-2.680013 -0.032438	0.912914 7.642132	7.032198 1.258110	11.992260 -9.674488	-1.399758 17.808942	
-0.646764 -7.084550	-2.123638 -0.822521	2.240037 0.820464	5.810950 -4.216274	-4.396571 -3.227214	-5.034882 1.622267	-9.095081 16.793843	-3.150773 7.828958	7.979663 -7.312873	1.670785 -7.495013	10.340519 7.630122	-10.391184 2.881042	-21.911776 -7.142347	-1.574976 -1.019455	-1.892310 -2.236043	-3.085004 -0.703184	0.882305 8.482451	7.312252 1.828415	12.283068 -10.561128	-0.409220 17.514087	
0.193674 -6.402226	-2.247127 -0.295777	2.584554 1.474555	5.836620 -3.501577	-5.152462 -3.042986	-5.667566 1.041824	-10.023141 16.525937	-3.745607 7.461947	8.228080 -7.423378	2.332725 -6.606518	11.255622 7.859458	-10.318083 2.541908	-21.373716 -8.121677	-1.793589 -0.224871	-1.933203 -2.941213	-3.108957 -1.668673	0.118402 8.841622	7.240802 2.215591	12.767873 -10.011175	-1.296968 18.139365	
0.956187 -6.944312	-2.745619 -0.451386	1.683753 1.092233	6.225151 -2.806760	-4.833716 -3.177687	-5.986712 1.544231	-10.935081 16.938522	-3.539276 6.636388	7.640421 -8.066113	2.161915 -7.547218	10.964281 7.400172	-9.469520 2.050119	-20.702044 -7.234861	-2.329626 0.002770	-1.173000 -2.403721	-3.079129 -1.129003	-0.560945 8.977635	6.782552 2.877479	12.811717 -9.460998	-1.314114 19.135006	
1.611227 -7.554373	-2.842720 -1.416735	1.050691 1.179782	7.175792 -2.454809	-5.397131 -4.124300	-6.016197 0.772593	-11.613434 16.392132	-2.894988 5.938274	7.308763 -7.415438	1.609330 -8.161039	10.671727 6.566663	-10.292749 1.373010	-21.068065 -8.152355	-2.922006 -0.890531	-0.221104 -3.020455	-2.561338 -0.349522	-1.484869 9.820117	7.582616 3.790705	13.643380 -10.127622	-2.146722 19.452989	
1.417499 -8.517304	-2.626530 -2.230451	0.174497 2.089532	7.768126 -1.769593	-4.869726 -3.402606	-5.271639 0.976934	-12.258576 16.762994	-3.755353 5.064072	7.873912 -8.258083	0.886843 -7.739731	10.918887 6.718998	-9.743109 2.175735	-20.311462 -8.836046	-2.472379 -1.314760	0.343368 -3.778408	-2.367530 0.132933	-0.607703 9.007015	7.410686 3.301484	14.160822 -9.719542	-3.081272 18.713114	
1.943049 -9.487757	-3.392541 -2.857201	0.187288 2.579972	8.050247 -1.015796	-5.803211 -4.012547	-5.979565 0.771822	-11.460589 15.835710	-4.379364 5.512252	8.095159 -8.166414	1.370236 -7.197916	11.822944 6.241747	-9.163107 1.541896	-21.071847 -8.249390	-1.563825 -1.368081	-0.212586 -3.472032	-2.709584 0.571156	-1.569537 9.894938	7.312900 3.465664	14.810073 -8.978031	-3.757431 19.153667	
1.980743 -10.386112	-3.795859 -2.638951	0.755213 1.878007	8.412255 -0.629351	-6.797328 -3.720836	-5.610650 0.395320	-11.667062 16.295241	-4.194477 6.472168	7.134016 -7.980600	0.706218 -6.263111	11.039120 5.884729	-8.953781 1.672588	-21.160646 -8.810671	-2.237479 -1.219281	0.527173 -2.516636	-3.532639 -0.219807	-1.485274 10.692088	6.628256 2.654457	14.100468 -9.717182	-3.061135 18.434339	
